river_name,country,date,current_speed_ms,u_ms,v_ms
Rungwa,United Republic of Tanzania,2024-08-31,,,
Ligonha,Mozambique,2024-08-31,0.028319606528066033,-0.021000001579523087,-0.01900000125169754
Dongwe,Zambia,2024-08-31,,,
Cuito,Angola,2024-08-31,,,
Bagoé,Mali,2024-08-31,,,
Hadejia,Nigeria,2024-08-31,,,
Sous,Morocco,2024-08-31,0.053075420105776865,0.039000000804662704,0.036000002175569534
Oum Er Rbia,Morocco,2024-08-31,,,
San Miguel,Bolivia,2024-08-31,,,
Coari,Brazil,2024-08-31,,,
Dan,China,2024-08-31,0.03623534363969012,-0.03200000151991844,-0.017000000923871994
Dan,China,2024-08-31,0.03623534363969012,-0.03200000151991844,-0.017000000923871994
Tonle Sap,Cambodia,2024-08-31,0.04140048317139224,-0.02500000037252903,0.032999999821186066
Tonle Sap,Cambodia,2024-08-31,0.005000000167638064,0.003000000026077032,0.004000000189989805
Maningory,Madagascar,2024-08-31,0.0014142136295446348,-0.0010000000474974513,-0.0010000000474974513
Maningory,Madagascar,2024-08-31,0.0014142136295446348,-0.0010000000474974513,-0.0010000000474974513
Bois,Brazil,2024-08-31,,,
Bois,Brazil,2024-08-31,,,
Cauca,Colombia,2024-08-31,0.0,0.0,0.0
Cojedes,Venezuela,2024-08-31,,,
Vaupés,Brazil,2024-08-31,,,
Santiago,Ecuador,2024-08-31,0.04527692750697169,-0.04500000178813934,0.005000000353902578
Aripuanã,Brazil,2024-08-31,,,
Teles Pires,Brazil,2024-08-31,,,
Unini,Brazil,2024-08-31,,,
Ajajú,Colombia,2024-08-31,,,
Jutaí,Brazil,2024-08-31,,,
Rio das Mortes,Brazil,2024-08-31,,,
Miranda,Brazil,2024-08-31,,,
Verde,Brazil,2024-08-31,,,
Taquari,Brazil,2024-08-31,,,
San Martin,Bolivia,2024-08-31,,,
Verde,Paraguay,2024-08-31,,,
Chico,Argentina,2024-08-31,0.006000000052154064,0.0,-0.006000000052154064
Gallegos,Argentina,2024-08-31,0.005000000167638064,0.003000000026077032,0.004000000189989805
Rio Rapel,Chile,2024-08-31,0.008062258131235244,0.00800000037997961,0.0010000000474974513
Cess,Liberia,2024-08-31,0.1208056311398742,0.11500000208616257,0.03700000047683716
Rokel,Sierra Leone,2024-08-31,0.05375872113480418,-0.03700000047683716,0.039000000804662704
Ogun,Nigeria,2024-08-31,,,
Gamtoos,South Africa,2024-08-31,0.04200000315904617,-0.04200000315904617,0.0
Wami,United Republic of Tanzania,2024-08-31,0.11111256443418784,-0.005000000353902578,0.11100000888109207
Notwani,Botswana,2024-08-31,,,
Mogalakwena,South Africa,2024-08-31,,,
Umzingwani,Zimbabwe,2024-08-31,,,
Punguè,Mozambique,2024-08-31,0.22200225511094998,-0.1340000033378601,0.1770000010728836
Shangani,Zimbabwe,2024-08-31,,,
Licungo,Mozambique,2024-08-31,0.21537177798528417,0.052000001072883606,-0.20900000631809235
Igombe,United Republic of Tanzania,2024-08-31,,,
Kangen,South Sudan,2024-08-31,,,
Moulouya,Morocco,2024-08-31,,,
Fen,China,2024-08-31,,,
Yi,China,2024-08-31,0.06307138913825834,0.003000000026077032,-0.06300000101327896
Bogcang,China,2024-08-31,,,
Tura,Russia,2024-08-31,0.08440379391994512,0.0820000022649765,0.020000001415610313
Herlen,Mongolia,2024-08-31,,,
Bol’shoy Yugan,Russia,2024-08-31,0.004000000189989805,-0.004000000189989805,0.0
Vasyugan,Russia,2024-08-31,0.06929646801232324,0.049000002443790436,0.049000002443790436
Qarqan,China,2024-08-31,,,
Huan,China,2024-08-31,,,
Zi,China,2024-08-31,,,
Kaladan,Myanmar,2024-08-31,,,
Mytitha,Myanmar,2024-08-31,,,
