river_name,n_days,avg_speed_ms,std_speed_ms,min_speed_ms,max_speed_ms,country,latitude,longitude
Adycha,6,0.0027,0.0014,0.001,0.0045,Russia,90.0,150.0482
Ahuriri,12,0.0681,0.0367,0.0199,0.1254,New Zealand,-54.4993,180.0
Alazeya,6,0.0027,0.0014,0.001,0.0045,Russia,90.0,171.0576
Aldan,6,0.0029,0.0015,0.0014,0.0051,Russia,90.0,144.0293
Alsek River,6,0.006,0.0022,0.0041,0.0092,Canada,81.8335,-154.1084
Anabar,6,0.003,0.0014,0.0014,0.0051,Russia,90.0,127.0048
Anadyr’,6,0.0029,0.0016,0.001,0.005,Russia,90.0,180.0
Anderson,12,0.0027,0.0014,0.001,0.0045,Canada,90.0,-138.6768
Angara,12,0.0134,0.0116,0.0028,0.0362,Russia,75.8095,113.3268
Aparima,6,0.0226,0.0114,0.0054,0.0392,New Zealand,-56.9314,180.0
Arctic Red,6,0.0033,0.0013,0.002,0.005,Canada,90.0,-148.8824
Ariège,6,0.0403,0.0174,0.02,0.0664,France,53.6167,1.5633
Arnaud,6,0.016,0.0024,0.0133,0.0202,Canada,83.7749,-79.0758
Asahan,6,0.0494,0.0175,0.0291,0.0751,Indonesia,2.6719,110.3715
Atbara,12,0.0457,0.0329,0.0061,0.102,Sudan,16.7077,39.9654
Atengo,6,0.0048,0.0034,0.0014,0.0098,Mexico,24.0097,-115.8604
Athabasca,12,0.0144,0.0157,0.001,0.0443,Canada,80.7736,-123.5819
Atoyac,6,0.0096,0.0032,0.0051,0.0134,Mexico,18.3631,-108.6541
Atrato,6,0.0075,0.001,0.0061,0.009,Colombia,9.0277,-85.5369
Avon,6,0.0511,0.021,0.0286,0.0834,Australia,-37.4323,128.8357
Awash,12,0.0308,0.0286,0.0028,0.1006,Ethiopia,12.9084,46.333
Awatere,6,0.0414,0.0182,0.0292,0.0751,New Zealand,-51.6077,180.0
Ba,6,0.0026,0.0009,0.0014,0.004,Vietnam,14.5974,121.7037
Babine,6,0.0037,0.0019,0.0014,0.006,Canada,74.6615,-142.1408
Back,12,0.0013,0.0002,0.001,0.0014,Canada,90.0,-107.9739
Bajang,6,0.0101,0.0033,0.0072,0.0144,Malaysia,2.5345,124.3197
Baliem,6,0.0673,0.0077,0.0586,0.0756,Indonesia,-6.2897,154.0249
