river_name,country,mouth_lat,mouth_lon,u_ms,v_ms,current_speed_ms
Rungwa,United Republic of Tanzania,-803843.460505356,3562223.705384754,,,
Ligonha,Mozambique,-1703608.5057877428,4160864.922109226,,,
Dongwe,Zambia,-1559692.2617182364,2664438.5347634167,,,
Cuito,Angola,-1419870.0392382694,2041473.357037973,,,
Bagoé,Mali,1296021.038813174,-730381.9637145364,,,
Hadejia,Nigeria,1284953.6915274728,834124.3368239369,,,
Sous,Morocco,3550578.061351372,-951781.6462824872,,,
Oum Er Rbia,Morocco,3828808.0487369113,-667916.9447596414,,,
San Miguel,Bolivia,-1499357.059038867,-7124447.410769508,,,
Coari,Brazil,-446562.0680491888,-7032864.300399591,,,
Dan,China,3879382.4709509774,12381956.076286787,,,
Dan,China,3879382.4709509774,12381956.076286787,,,
Tonle Sap,Cambodia,1475643.66888082,11542428.830583531,,,
Tonle Sap,Cambodia,1290604.024992757,11683111.011282334,,,
Maningory,Madagascar,-1954296.4876165031,5409768.508100345,,,
Maningory,Madagascar,-1954296.4876165031,5409768.508100345,,,
Bois,Brazil,-2097997.261418931,-5571083.930354386,,,
Bois,Brazil,-2059480.381231932,-5577796.800038452,,,
Cauca,Colombia,1047039.205159124,-8321115.630231164,,,
Cojedes,Venezuela,886759.806413385,-7528461.608593132,,,
Vaupés,Brazil,6572.8070560387705,-7486599.93582241,,,
Santiago,Ecuador,-544319.53652749,-8508711.801410278,,,
Aripuanã,Brazil,-570000.9594582013,-6723039.545750344,,,
Teles Pires,Brazil,-1222686.1131287175,-6530662.832962212,,,
Unini,Brazil,-187089.3059746523,-6838604.179234514,,,
Ajajú,Colombia,-132686.10236981622,-7731687.623315999,,,
Jutaí,Brazil,-299595.6265469093,-7431587.017545127,,,
Rio das Mortes,Brazil,-1308467.1498176928,-5645833.229055026,,,
Miranda,Brazil,-2188368.0576951825,-6383487.921220804,,,
Verde,Brazil,-2399373.6857035398,-5773937.611819472,,,
Taquari,Brazil,-2185372.285478609,-6380126.050856758,,,
San Martin,Bolivia,-1391534.3102221738,-7157435.593856636,,,
Verde,Paraguay,-2616260.98207859,-6432271.731273032,,,
Chico,Argentina,-6366524.918157654,-7651883.289144767,,,
Gallegos,Argentina,-6699114.72115454,-7749706.378783758,,,
Rio Rapel,Chile,-3861824.580956915,-7964643.225680166,,,
Cess,Liberia,605160.3846966388,-1066514.644898913,,,
Rokel,Sierra Leone,951128.285614557,-1432645.9720641545,,,
Ogun,Nigeria,730384.1867292692,385123.0410730402,,,
Gamtoos,South Africa,-4000365.3067616746,2785107.1234162813,,,
Wami,United Republic of Tanzania,-682236.6191104067,4324468.699130065,,,
Notwani,Botswana,-2705556.5680537056,3001033.2353187613,,,
Mogalakwena,South Africa,-2550385.213107075,3218318.2277240893,,,
Umzingwani,Zimbabwe,-2517984.327750521,3332056.5258124312,,,
Punguè,Mozambique,-2213263.453188231,3843631.5509584537,,,
Shangani,Zimbabwe,-2078552.866852592,3024677.75606831,,,
Licungo,Mozambique,-1969797.3068741704,4182308.0564441606,,,
Igombe,United Republic of Tanzania,-528892.2915931614,3494540.5852989247,,,
Kangen,South Sudan,740065.7309524098,3699008.616801392,,,
Moulouya,Morocco,4156040.854961536,-260551.74761599457,,,
Fen,China,4201592.535674218,12306913.259397537,,,
Yi,China,4100724.1153431833,13269315.915690282,,,
Bogcang,China,3725937.707243587,9730834.570451276,,,
Tura,Russia,7769897.326438973,7453687.850043443,,,
Herlen,Mongolia,6202081.219636593,13030821.516396506,,,
Bol’shoy Yugan,Russia,8597514.475399405,8169578.712075617,,,
Vasyugan,Russia,8169782.646516596,8983939.490866134,,,
Qarqan,China,4521200.136516152,9537737.650996637,,,
Huan,China,4174607.136738826,12016226.977750389,,,
Zi,China,3735991.6247531553,10791875.644684725,,,
Kaladan,Myanmar,2323856.561724731,10360865.926791528,,,
Mytitha,Myanmar,2640443.030765184,10498286.7942835,,,
Jiulong,China,2791849.822803424,13112381.524177415,,,
Mei,China,2966716.6287518246,12810166.500344116,,,
Tuo,China,3341539.7821143097,11738107.622993585,,,
Baram,Malaysia,509317.53336442384,12690286.0623829,,,
Son,India,2944380.071784607,9448535.29926771,,,
Betwa,India,2970487.8395406525,8928932.008110864,,,
Ba,Vietnam,1459738.9241466585,12170372.946471408,,,
Masi,Indonesia,-261845.09244600823,11693558.084588232,,,
Pembuang,Indonesia,-377986.2273890487,12531889.515448978,,,
Ramu,Papua New Guinea,-444088.4840859592,16102755.700831842,,,
Parbati,India,2961684.8804635024,8521050.436376136,,,
Indravati,India,2107582.7191627547,8935318.746474247,,,
