River,Country,sharePlastics,plastic_tons,river_name,n_days,avg_speed_ms,std_speed_ms,min_speed_ms,max_speed_ms,country,latitude,longitude
Pasig,Philippines,6.43212879,6.43212879,,,,,,,,,
Klang,Malaysia,1.327264671,1.327264671,,,,,,,,,
Tullahan,Philippines,1.327264671,1.327264671,,,,,,,,,
Ulhas,India,1.327264671,1.327264671,,,,,,,,,
Meycauayan,Philippines,1.225167388,1.225167388,,,,,,,,,
Pampanga,Philippines,0.949504726,0.949504726,,,,,,,,,
Libmanan,Philippines,0.724890705,0.724890705,,,,,,,,,
Ganges,India,0.633003151,0.633003151,,,,,,,,,
Rio Grande de Mindanao,Philippines,0.541115597,0.541115597,,,,,,,,,
Agno,Philippines,0.469647499,0.469647499,,,,,,,,,
Agusan,Philippines,0.469647499,0.469647499,,,,,,,,,
Paranaque,Philippines,0.449228042,0.449228042,,,,,,,,,
Iloilo,Philippines,0.428808586,0.428808586,,,,,,,,,
Soai Rap,Vietnam,0.418598858,0.418598858,,,,,,,,,
Chao Phraya,Thailand,0.408389129,0.408389129,Chao Phraya,6.0,0.0399,0.017,0.0177,0.0672,Thailand,17.0533,111.4122
Lagos Harbour,Nigeria,0.408389129,0.408389129,,,,,,,,,
Hugli,India,0.398179401,0.398179401,,,,,,,,,
Huangpu,China,0.367550217,0.367550217,,,,,,,,,
Pazundaung Creek,Myamnar,0.367550217,0.367550217,,,,,,,,,
Bharathappuzha,India,0.357340488,0.357340488,,,,,,,,,
Sarawak,Malaysia,0.336921032,0.336921032,,,,,,,,,
Ebrie Lagoon,Cote d'Ivoire,0.336921032,0.336921032,,,,,,,,,
Msimbazi River,Tanzania,0.326711304,0.326711304,,,,,,,,,
Imus,Philippines,0.316501575,0.316501575,,,,,,,,,
Chenzhen River,China,0.296082119,0.296082119,,,,,,,,,
Cilliwung,Indonesia,0.285872391,0.285872391,,,,,,,,,
Wouri River,Cameroon,0.285872391,0.285872391,,,,,,,,,
Langat,Malaysia,0.285872391,0.285872391,,,,,,,,,
Zapote,Philippines,0.275662662,0.275662662,,,,,,,,,
Malad Creek,India,0.275662662,0.275662662,,,,,,,,,
Kelani,Sri Lanka,0.275662662,0.275662662,,,,,,,,,
Cagayan de Oro,Philippines,0.265452934,0.265452934,,,,,,,,,
Davao River,Philippines,0.265452934,0.265452934,,,,,,,,,
Rio Pavuna,Brazil,0.265452934,0.265452934,,,,,,,,,
Karnaphuli,Bangladesh,0.265452934,0.265452934,,,,,,,,,
Tambo,Philippines,0.255243206,0.255243206,Tambo,6.0,0.1322,0.0134,0.1077,0.1436,Peru,-19.2783,-79.9826
Yangon River,Myamnar,0.255243206,0.255243206,,,,,,,,,
Panvel Creek,India,0.255243206,0.255243206,,,,,,,,,
Zhujiang,China,0.255243206,0.255243206,,,,,,,,,
Kelantan River,Malaysia,0.255243206,0.255243206,,,,,,,,,
Malaking Tubig,Philippines,0.255243206,0.255243206,,,,,,,,,
Chilyar River,India,0.234823749,0.234823749,,,,,,,,,
Periyar River,India,0.234823749,0.234823749,,,,,,,,,
Douala Estuary,Cameroon,0.234823749,0.234823749,,,,,,,,,
Cagayan River,Philippines,0.234823749,0.234823749,,,,,,,,,
Jalaur River,Philippines,0.234823749,0.234823749,,,,,,,,,
Hamulauon,Philippines,0.224614021,0.224614021,,,,,,,,,
Mithi River,India,0.224614021,0.224614021,,,,,,,,,
Rio Ozama,Dominican Republic,0.224614021,0.224614021,,,,,,,,,
Sungai Kuantan,Malaysia,0.224614021,0.224614021,,,,,,,,,
